,cityName,cloudiness,country,date,humidity,lat,lng,maxTemp,windSpeed
86,okhotsk,88,RU,1545863773,99,59.36,143.24,-10.31,5.07
87,agudos,24,BR,1545863773,97,-22.47,-48.99,21.27,2.57
88,tuktoyaktuk,20,CA,1545861600,74,69.44,-133.03,-30.0,8.2
89,champerico,5,MX,1545860640,35,16.38,-93.6,31.0,0.97
90,avarua,20,CK,1545861600,58,-21.21,-159.78,29.0,4.1
91,bredasdorp,92,ZA,1545861600,88,-34.53,20.04,19.0,3.6
92,ugento,5,IT,1545861300,87,39.93,18.16,7.0,4.1
93,tingi,80,TZ,1545863775,100,-11.3,35.03,23.8,0.77
94,klaksvik,92,FO,1545862800,100,62.23,-6.59,8.0,5.1
95,thompson,90,CA,1545861600,77,55.74,-97.86,-16.0,2.6
96,olga,1,US,1545861480,29,34.11,-118.17,18.3,1.5
97,nanortalik,80,GL,1545863776,89,60.14,-45.24,-1.31,4.72
98,ribeira grande,75,PT,1545858000,82,38.52,-28.7,17.0,1.5
99,arlit,0,NE,1545863777,63,18.74,7.39,11.27,3.82
100,yinchuan,68,CN,1545863777,52,38.48,106.21,-16.73,3.97
101,fortuna,40,ES,1545861600,93,38.18,-1.13,10.0,1.5
102,luderitz,44,NA,1545863778,91,-26.65,15.16,16.87,5.67
103,colares,0,PT,1545861600,100,38.8,-9.45,9.0,0.5
104,portland,90,US,1545861180,82,45.52,-122.67,7.8,3.1
105,linxia,88,CN,1545863778,72,35.6,103.21,-14.41,0.97
106,esna,92,RO,1545863779,91,45.2,27.57,-1.18,2.67
107,iracoubo,88,GF,1545863779,96,5.48,-53.21,23.72,2.57
108,coihaique,40,CL,1545861600,18,-45.58,-72.07,21.0,5.7
109,antofagasta,40,CL,1545861600,63,-23.65,-70.4,19.0,8.2
110,osa,80,RU,1545863780,83,57.28,55.46,-8.21,5.27
111,moose factory,90,CA,1545861600,77,51.26,-80.61,-16.0,2.6
112,watertown,90,US,1545862620,87,44.9,-97.12,0.0,7.7
113,talnakh,44,RU,1545863781,79,69.49,88.39,-20.06,10.17
114,birao,0,CF,1545863781,55,10.3,22.78,19.57,3.12
115,mahebourg,20,MU,1545861600,88,-20.41,57.7,24.0,3.1
116,kodiak,90,US,1545861300,100,39.95,-94.76,6.7,5.1
117,lyuban,48,BY,1545863782,89,52.8,28.0,-1.53,6.87
118,aksarayskiy,90,RU,1545861600,95,46.79,48.01,0.0,4.0
119,nakonde,64,ZM,1545863783,93,-9.33,32.75,14.7,1.22
120,ostrovnoy,8,RU,1545863783,90,68.05,39.51,-8.08,5.52
121,villa maria,20,CO,1545861600,32,4.5,-74.09,19.0,4.6
122,starodub,88,RU,1545863783,91,52.58,32.76,-2.03,9.07
123,narsaq,20,GL,1545863784,63,60.91,-46.05,-13.66,1.02
124,yellowknife,20,CA,1545861600,75,62.45,-114.38,-29.0,3.6
125,vostok,48,RU,1545863784,62,46.45,135.83,-20.28,3.37
126,crixas,36,BR,1545863785,83,-14.55,-49.97,24.47,0.72
127,lerwick,40,GB,1545862800,93,60.15,-1.15,9.0,6.2
128,albany,90,US,1545862560,60,42.65,-73.75,0.6,2.1
129,carnarvon,0,ZA,1545863785,54,-30.97,22.13,17.85,3.82
130,mount gambier,0,AU,1545861600,57,-37.83,140.78,24.0,4.6
131,najran,0,SA,1545858000,50,17.54,44.22,11.0,0.92
132,san quintin,0,PH,1545863786,94,17.54,120.52,22.47,2.12
133,bethel,90,US,1545861360,90,60.79,-161.76,-13.9,6.7
134,north bend,90,US,1545861360,92,43.41,-124.22,9.4,3.1
135,tarakan,80,ID,1545863787,100,3.3,117.63,24.3,1.87
136,dingle,48,PH,1545863787,85,11.0,122.67,24.02,2.27
137,buin,0,CL,1545861600,39,-33.73,-70.74,27.0,9.8
138,havre-saint-pierre,40,CA,1545861600,43,50.23,-63.6,-11.0,2.6
139,pisco,75,PE,1545861600,30,-13.71,-76.2,22.0,7.7
140,iquitos,75,PE,1545861600,94,-3.75,-73.25,24.0,1.5
141,jalu,0,LY,1545863789,93,29.03,21.55,7.1,2.47
142,valparaiso,1,US,1545862500,52,41.47,-87.06,8.0,1.5
143,cabedelo,0,BR,1545861600,69,-6.97,-34.84,26.0,2.6
144,sao joao de pirabas,32,BR,1545863789,100,-0.77,-47.18,26.42,5.52
145,rundu,24,NA,1545863790,77,-17.91,19.77,19.7,1.47
146,san rafael,0,AR,1545863790,39,-34.61,-68.33,25.82,3.17
147,nouadhibou,0,MR,1545863790,72,20.93,-17.03,17.27,6.82
148,meulaboh,68,ID,1545863791,100,4.14,96.13,24.42,1.62
149,teya,75,MX,1545861060,52,21.05,-89.07,31.0,8.2
150,hayvoron,76,UA,1545863791,93,48.34,29.87,0.6,7.67
151,mehamn,75,NO,1545861000,74,71.03,27.85,-2.0,8.7
152,lingyuan,12,CN,1545863577,14,41.24,119.4,-20.88,4.92
153,riyadh,0,SA,1545861600,54,24.63,46.72,12.0,1.5
154,carros,0,FR,1545863796,63,43.78,7.19,-2.43,0.37
155,saint george,20,GR,1545861000,64,39.45,22.34,2.0,4.1
156,nikolskoye,90,RU,1545861600,86,59.7,30.79,-1.0,4.0
157,ugoofaaru,80,MV,1545863796,100,5.67,73.0,26.55,1.07
158,marzuq,0,YE,1545863797,73,14.4,46.47,0.3,1.42
159,polyarnyy,0,RU,1545861600,85,69.2,33.45,-10.0,2.0
160,neuquen,0,AR,1545861600,39,-38.95,-68.06,27.0,3.1
161,san patricio,0,PY,1545863798,85,-26.98,-56.83,26.77,1.32
162,hilo,40,US,1545861180,79,19.71,-155.08,25.0,2.6
163,shimoda,44,JP,1545863798,100,34.7,138.93,11.2,2.67
164,karasjok,90,NO,1545862800,73,69.47,25.52,-3.0,11.3
165,beringovskiy,8,RU,1545863799,100,63.05,179.32,-24.68,6.82
166,novikovo,68,UA,1545863799,100,45.05,34.56,1.85,4.82
167,oriximina,56,BR,1545863799,91,-1.77,-55.87,24.85,1.22
168,mizdah,0,LY,1545863800,88,31.45,12.98,3.12,2.57
169,guararapes,48,BR,1545863800,92,-21.25,-50.65,23.82,1.07
170,vila franca do campo,40,PT,1545861600,88,37.72,-25.43,17.0,4.1
171,sitka,92,US,1545863800,98,37.17,-99.65,11.67,4.32
172,yenagoa,0,NG,1545863801,89,4.92,6.26,23.45,2.02
173,constitucion,5,MX,1545860520,10,23.99,-104.67,20.0,10.3
174,bodden town,75,KY,1545861600,83,19.28,-81.25,27.0,6.7
175,thayetmyo,0,MM,1545863801,82,19.32,95.18,13.22,1.32
176,saskylakh,68,RU,1545863802,72,71.97,114.09,-21.03,4.22
177,high level,80,CA,1545863802,71,58.52,-117.13,-19.31,1.22
178,gerede,76,TR,1545863802,73,40.8,32.2,-10.73,1.22
179,ballina,88,IE,1545863802,97,54.11,-9.15,10.02,4.07
